Nama,Karbohidrat,Protein,kalori,Lemak,Energi,lemak jenuh,kolestrol,serat,gula,sodium,kalium,berat
Kentang Goreng,35.66g,3.48g,274 kkal,14.06g,1146 kj,3.278g,0mg,3.3g,0.58g,300mg,527mg,100 gram (g)
Alpukat,8.53g,2g,160 kkal,14.66g,669 kj,2.126g,0mg,6.7g,0.66g,7mg,485mg,100 gram (g)
Pisang,22.84g,1.09g,89 kkal,0.33g,372 kj,0.112g,0mg,2.6g,12.23g,1mg,358mg,100 gram (g)
Dendeng Sapi,11g,33.2g,410 kkal,25.6g,1715 kj,10.85g,48mg,1.8g,9g,2213mg,597mg,100 gram (g)
Keripik Kentang,49.74g,6.56g,547 kkal,37.47g,2289 kj,10.96g,0mg,4.4g,4.12g,525mg,1642mg,100 gram (g)
Keripik Jagung Tawar,63.01g,6.03g,518 kkal,28.41g,2167 kj,3.612g,0mg,5.3g,1.16g,616mg,135mg,100 gram (g)
Keripik Jagung Tortilla,65.32g,7.79g,488 kkal,23.36g,2042 kj,2.458g,0mg,5.3g,1g,421mg,215mg,100 gram (g)
Keripik Kentang (Asin),49.74g,6.56g,547 kkal,37.47g,2289 kj,10.96g,0mg,4.4g,4.12g,525mg,1642mg,100 gram (g)
Keripik Kentang Bebas Lemak,83.76g,9.64g,379 kkal,0.6g,1586 kj,0.15g,0mg,7.5g,3.69g,643mg,1628mg,100 gram (g)
Keripik Kentang Rasa Barbecue,52.8g,7.7g,491 kkal,32.4g,2054 kj,8.05g,0mg,4.4g,-,750mg,1261mg,100 gram (g)
Keripik Kentang dengan Lemak yang Dikurangi,66.9g,7.1g,471 kkal,20.8g,1971 kj,4.16g,0mg,5.9g,0.22g,492mg,1744mg,100 gram (g)
Keripik Kentang Bebas Lemak,83.76g,9.64g,379 kkal,0.6g,1586 kj,0.15g,0mg,7.5g,3.69g,643mg,1628mg,100 gram (g)
Kerupuk / Biskuit,61g,7.4g,502 kkal,25.3g,2100 kj,3.776g,0mg,1.6g,1.79g,847mg,133mg,100 gram (g)
Kerupuk Asin,70.91g,9.22g,428 kkal,11.35g,1791 kj,1.656g,0mg,3g,0.38g,1072mg,154mg,100 gram (g)
Kerupuk Gandum,64.9g,8.6g,473 kkal,20.6g,1979 kj,5.178g,0mg,4.5g,13.04g,795mg,183mg,100 gram (g)
Biskuit Keju,58.2g,10.1g,503 kkal,25.3g,2105 kj,9.371g,13mg,2.4g,0.28g,995mg,145mg,100 gram (g)
Kue Beras Merah,81.5g,8.2g,387 kkal,2.8g,1619 kj,0.57g,0mg,4.2g,0.88g,326mg,290mg,100 gram (g)
Kue Beras Merah Multigrain,80.1g,8.5g,387 kkal,3.5g,1619 kj,0.56g,0mg,3g,-,252mg,294mg,100 gram (g)
Permen Karet (tanpa Gula),94.8g,0g,268 kkal,0.4g,1121 kj,0.058g,0mg,2.4g,0g,7mg,0mg,100 gram (g)
Permen Karet (Manis),66.08g,0g,247 kkal,0.3g,1033 kj,0.042g,0mg,2.4g,66.08g,1mg,2mg,100 gram (g)
Permen Karet,66.08g,0g,247 kkal,0.3g,1033 kj,0.042g,0mg,2.4g,66.08g,1mg,2mg,100 gram (g)
Popcorn,77.78g,12.94g,387 kkal,4.54g,1619 kj,0.637g,0mg,14.5g,0.87g,8mg,329mg,100 gram (g)
Popcorn Rasa Keju,51.6g,9.3g,526 kkal,33.2g,2201 kj,6.41g,11mg,9.9g,-,889mg,261mg,100 gram (g)
Selai Kacang dan Sandwich Jeli,45.41g,11.1g,352 kkal,15.3g,1473 kj,3.151g,0mg,3.1g,13.02g,519mg,239mg,100 gram (g)
Sandwich Daging Sapi Panggang,19.13g,19.74g,251 kkal,9.92g,1050 kj,3.734g,49mg,0.9g,1.63g,443mg,269mg,100 gram (g)
Sandwich Ham dan Keju,22.84g,14.17g,241 kkal,10.6g,1008 kj,4.409g,40mg,-,-,528mg,199mg,100 gram (g)
Sandwich Keju,33.25g,10.96g,315 kkal,15.27g,1318 kj,6.479g,27mg,1.5g,4.76g,884mg,153mg,100 gram (g)
Sushi,29.9g,4.3g,143 kkal,0.42g,598 kj,0.087g,3mg,0.8g,6.27g,596mg,129mg,100 gram (g)
Sushi dengan Sayuran dan Seafood,27.5g,5.37g,139 kkal,0.41g,582 kj,0.099g,7mg,1.1g,5.65g,216mg,132mg,100 gram (g)
Sushi dengan Sayuran,31.68g,3.08g,145 kkal,0.28g,607 kj,0.068g,0mg,1.3g,6.53g,237mg,100mg,100 gram (g)
Sashimi Salmon,0g,21.62g,146 kkal,5.93g,611 kj,1.26g,45mg,0g,0g,46mg,423mg,100 gram (g)
Sushi dengan Sayuran yang Digulung dengan Rumput Laut,25.8g,2.21g,118 kkal,0.24g,494 kj,0.065g,0mg,0.5g,4.47g,98mg,60mg,100 gram (g)
Salad Tuna dengan Keju,6.87g,14.44g,217 kkal,14.72g,908 kj,3.659g,29mg,0.4g,3.34g,500mg,179mg,100 gram (g)
Salad Tuna dengan Telur,6.26g,13.71g,196 kkal,12.93g,820 kj,2.191g,64mg,0.4g,2.73g,365mg,162mg,100 gram (g)
Salad Tuna,6.96g,14.27g,184 kkal,11.02g,770 kj,1.735g,21mg,0.4g,3g,388mg,171mg,100 gram (g)
Salad Sayuran Hijau Campur,3.2g,1.52g,17 kkal,0.24g,71 kj,0.038g,0mg,2g,0.88g,29mg,291mg,100 gram (g)
Salad Kentang,11.17g,2.68g,143 kkal,8.2g,598 kj,1.429g,68mg,1.3g,-,529mg,254mg,100 gram (g)
Salad Kentang dengan Telur,15.96g,2.77g,136 kkal,7.05g,569 kj,1.24g,46mg,1.5g,1.64g,488mg,295mg,100 gram (g)
Nachos dengan Keju,32.15g,8.05g,306 kkal,16.77g,1280 kj,6.885g,16mg,-,-,722mg,152mg,100 gram (g)
Nachos dengan Ayam atau Kalkun dan Keju,12.07g,23.21g,286 kkal,15.94g,1197 kj,6.49g,73mg,1g,0.3g,263mg,167mg,100 gram (g)
Nachos dengan Daging Sapi dan Keju,13.42g,22.22g,352 kkal,23.15g,1473 kj,9.803g,75mg,1.1g,0.34g,297mg,259mg,100 gram (g)
Nachos dengan Daging Sapi. Kacang-kacangan dan Keju,18.57g,14.3g,275 kkal,16.18g,1151 kj,6.621g,42mg,3.6g,0.53g,331mg,264mg,100 gram (g)
Nachos dengan Daging Sapi. Kacang-kacangan. Keju dan Krim Asam,25.03g,10.9g,290 kkal,16.81g,1213 kj,5.99g,31mg,3.3g,0.85g,302mg,235mg,100 gram (g)
Telur Dadar,0.69g,10.62g,153 kkal,12.02g,640 kj,3.365g,356mg,0g,0.65g,161mg,114mg,100 gram (g)
Telur Ceplok,0.88g,13.63g,201 kkal,15.31g,841 kj,4.294g,457mg,0g,0.83g,204mg,147mg,100 gram (g)
Telur Rebus,1.12g,12.53g,154 kkal,10.57g,644 kj,3.254g,422mg,0g,1.12g,278mg,126mg,100 gram (g)
Kentang Goreng,35.66g,3.48g,274 kkal,14.06g,1146 kj,3.278g,0mg,3.3g,0.58g,300mg,527mg,100 gram (g)
Onion Rings,37.74g,4.46g,332 kkal,18.69g,1389 kj,8.377g,17mg,-,-,518mg,156mg,100 gram (g)
Kentang Panggang (Kulit Dimakan),20.53g,2.43g,109 kkal,2.2g,456 kj,0.423g,0mg,2.1g,1.14g,235mg,519mg,100 gram (g)
Pancake Kentang,27.9g,6.06g,269 kkal,14.75g,1125 kj,2.493g,95mg,3.2g,1.8g,764mg,622mg,100 gram (g)
Kerupuk Udang,50.08g,6.66g,541 kkal,35.19g,2264 kj,9.056g,81mg,0.5g,1.89g,1364mg,32mg,100 gram (g)
Cimol,41.35g,0.97g,222 kkal,5.22g,931 kj,1.386g,2.942g,29mg,0.4g,0.05g,190mg,100 gram (g)
Keripik Pisang,58.4g,2.3g,519 kkal,33.6g,2171 kj,28.97g,0mg,7.7g,35.34g,6mg,536mg,100 gram (g)
Bakpia,47.68g,9.61g,299 kkal,7.91g,1249 kj,0.952g,23mg,4.8g,11.24g,118mg,344mg,100 gram (g)
Siomay,16.3g,12.26g,138 kkal,2.29g,577 kj,0.585g,43mg,0.8g,0.25g,352mg,251mg,100 gram (g)
Es Krim,24.4g,3.52g,201 kkal,10.72g,841 kj,6.618g,40mg,0.7g,22.3g,74mg,202mg,100 gram (g)
Pai Apel,37.1g,2.4g,265 kkal,12.5g,1109 kj,3.05g,0mg,-,-,211mg,79mg,100 gram (g)
Brownies,62.54g,4.76g,379 kkal,13.77g,1586 kj,2.858g,35mg,2.2g,36.76g,148mg,178mg,100 gram (g)
Macaroon,72.2g,3.6g,404 kkal,12.7g,1690 kj,11.236g,0mg,1.8g,70.65g,247mg,156mg,100 gram (g)
Tiramisu,24.41g,4.77g,283 kkal,18.2g,1184 kj,10.532g,167mg,0.9g,16.82g,85mg,129mg,100 gram (g)
Wafel Buah,44.8g,6.4g,278 kkal,8.24g,1163 kj,1.681g,12mg,2.6g,6.1g,616mg,137mg,100 gram (g)
